iter	Passed	Remaining
473	1281	1422
474	1284	1419
475	1287	1417
476	1289	1414
477	1292	1411
478	1294	1408
479	1297	1405
480	1299	1402
481	1301	1398
482	1303	1395
483	1306	1392
484	1308	1389
485	1310	1386
486	1313	1383
487	1316	1380
488	1318	1377
489	1321	1374
490	1323	1372
491	1325	1369
492	1328	1366
493	1331	1363
494	1334	1361
495	1337	1359
496	1340	1356
497	1343	1354
498	1346	1351
499	1349	1349
500	1352	1346
501	1355	1344
502	1357	1341
503	1360	1338
504	1363	1336
505	1366	1333
506	1369	1331
507	1371	1328
508	1375	1326
509	1377	1323
510	1380	1321
511	1383	1318
512	1385	1315
513	1388	1312
514	1390	1309
515	1393	1306
516	1395	1303
517	1398	1300
518	1400	1298
519	1403	1295
520	1405	1292
521	1407	1289
522	1410	1286
523	1413	1283
524	1415	1281
525	1418	1278
526	1421	1275
527	1423	1272
528	1426	1269
529	1428	1266
530	1431	1264
531	1434	1261
532	1436	1258
533	1439	1255
534	1442	1253
535	1445	1251
536	1448	1248
537	1450	1245
538	1453	1243
539	1456	1240
540	1458	1237
541	1461	1234
542	1464	1232
543	1467	1229
544	1469	1227
545	1472	1224
546	1475	1221
547	1477	1218
548	1480	1216
549	1483	1213
550	1485	1210
551	1488	1208
552	1491	1205
553	1493	1202
554	1496	1199
555	1498	1196
556	1501	1194
557	1503	1191
558	1506	1188
559	1508	1185
560	1511	1182
561	1513	1179
562	1516	1176
563	1518	1173
564	1520	1170
565	1523	1167
566	1525	1165
567	1527	1162
568	1530	1159
569	1532	1155
570	1534	1152
571	1536	1149
572	1539	1146
573	1541	1144
574	1544	1141
575	1546	1138
576	1548	1135
577	1551	1132
578	1553	1129
579	1556	1127
580	1559	1124
581	1561	1121
582	1564	1119
583	1566	1116
584	1569	1113
585	1572	1111
586	1575	1108
587	1578	1106
588	1581	1103
589	1584	1101
590	1587	1098
591	1590	1096
592	1593	1093
593	1596	1091
594	1598	1088
595	1601	1085
596	1604	1082
597	1606	1080
598	1609	1077
599	1611	1074
600	1614	1071
601	1617	1069
602	1620	1066
603	1622	1063
604	1625	1060
605	1627	1058
606	1629	1055
607	1632	1052
608	1634	1049
609	1637	1047
610	1641	1044
611	1643	1042
612	1646	1039
613	1648	1036
614	1651	1033
615	1654	1031
616	1656	1028
617	1659	1025
618	1661	1022
619	1664	1020
620	1667	1017
621	1670	1015
622	1673	1012
623	1675	1009
624	1678	1007
625	1681	1004
626	1683	1001
627	1686	999
628	1689	996
629	1691	993
630	1694	990
631	1696	987
632	1699	985
633	1701	982
634	1704	979
635	1706	976
636	1709	973
637	1711	971
638	1714	968
639	1717	966
640	1720	963
641	1722	960
642	1725	957
643	1727	954
644	1729	952
645	1732	949
646	1735	946
647	1737	943
648	1739	940
649	1741	937
650	1744	935
651	1747	932
652	1749	929
653	1752	927
654	1754	924
655	1757	921
656	1760	919
657	1763	916
658	1766	913
659	1768	911
660	1771	908
661	1774	906
662	1777	903
663	1779	900
664	1782	897
665	1785	895
666	1787	892
667	1790	889
668	1792	886
669	1794	884
670	1797	881
671	1799	878
672	1802	875
673	1804	872
674	1806	870
675	1809	867
676	1812	864
677	1814	861
678	1817	859
679	1819	856
680	1822	853
681	1824	850
682	1827	848
683	1830	845
684	1832	842
685	1835	840
686	1837	837
687	1840	834
688	1843	831
689	1845	829
690	1848	826
691	1850	823
692	1853	820
693	1856	818
694	1858	815
695	1861	813
696	1863	810
697	1866	807
698	1868	804
699	1871	801
700	1873	799
701	1876	796
702	1878	793
703	1881	790
704	1883	788
705	1886	785
706	1888	782
707	1891	780
708	1893	777
709	1896	774
710	1899	772
711	1902	769
712	1905	766
713	1908	764
714	1910	761
715	1913	758
716	1916	756
717	1919	753
718	1921	751
719	1924	748
720	1927	745
721	1929	743
722	1932	740
723	1935	737
724	1937	735
725	1940	732
726	1943	729
727	1945	727
728	1948	724
729	1951	721
730	1953	718
731	1956	716
732	1958	713
733	1961	710
734	1963	708
735	1966	705
736	1968	702
737	1971	699
738	1973	697
739	1976	694
740	1978	691
741	1981	688
742	1983	686
743	1985	683
744	1988	680
745	1990	677
746	1993	675
747	1995	672
748	1998	669
749	2001	667
750	2003	664
751	2006	661
752	2008	658
753	2010	656
754	2013	653
755	2015	650
756	2018	647
757	2020	645
758	2022	642
759	2025	639
760	2027	636
761	2030	634
762	2033	631
763	2035	628
764	2039	626
765	2042	623
766	2045	621
767	2048	618
768	2051	616
769	2054	613
770	2056	610
771	2059	608
772	2061	605
773	2065	603
774	2067	600
775	2070	597
776	2072	594
777	2075	592
778	2078	589
779	2080	586
780	2083	584
781	2085	581
782	2088	578
783	2090	576
784	2093	573
785	2095	570
786	2098	567
787	2100	565
788	2103	562
789	2106	559
790	2108	557
791	2111	554
792	2114	551
793	2116	549
794	2119	546
795	2122	543
796	2124	541
797	2127	538
798	2131	536
799	2133	533
800	2136	530
801	2140	528
802	2144	526
803	2147	523
804	2150	520
805	2153	518
806	2156	515
807	2159	513
808	2162	510
809	2165	507
810	2168	505
811	2171	502
812	2174	500
813	2177	497
814	2180	494
815	2183	492
816	2186	489
817	2188	486
818	2191	484
819	2194	481
820	2197	479
821	2200	476
822	2202	473
823	2205	471
824	2208	468
825	2211	465
826	2214	463
827	2217	460
828	2221	458
829	2224	455
830	2227	453
831	2230	450
832	2233	447
833	2236	445
834	2239	442
835	2243	440
836	2246	437
837	2248	434
838	2251	432
839	2254	429
840	2257	426
841	2259	424
842	2262	421
843	2265	418
844	2268	416
845	2271	413
846	2274	410
847	2276	408
848	2279	405
849	2282	402
850	2284	400
851	2287	397
852	2290	394
853	2292	391
854	2295	389
855	2297	386
856	2300	383
857	2303	381
858	2306	378
859	2308	375
860	2311	373
861	2313	370
862	2316	367
863	2319	365
864	2322	362
865	2325	359
866	2327	357
867	2330	354
868	2333	351
869	2336	349
870	2339	346
871	2342	343
872	2345	341
873	2348	338
874	2351	335
875	2354	333
876	2356	330
877	2359	327
878	2362	325
879	2364	322
880	2367	319
881	2370	317
882	2373	314
883	2375	311
884	2377	308
885	2380	306
886	2383	303
887	2385	300
888	2388	298
889	2391	295
890	2393	292
891	2396	290
892	2399	287
893	2402	284
894	2405	282
895	2408	279
896	2410	276
897	2413	274
898	2416	271
899	2418	268
900	2421	266
901	2423	263
902	2426	260
903	2428	257
904	2431	255
905	2434	252
906	2437	249
907	2439	247
908	2443	244
909	2445	241
910	2448	239
911	2450	236
912	2453	233
913	2455	231
914	2458	228
915	2461	225
916	2464	223
917	2467	220
918	2470	217
919	2472	215
920	2475	212
921	2478	209
922	2480	206
923	2483	204
924	2486	201
925	2488	198
926	2491	196
927	2493	193
928	2496	190
929	2498	188
930	2500	185
931	2502	182
932	2505	179
933	2508	177
934	2510	174
935	2513	171
936	2516	169
937	2519	166
938	2522	163
939	2524	161
940	2527	158
941	2531	155
942	2534	153
943	2537	150
944	2540	147
945	2543	145
946	2546	142
947	2548	139
948	2550	137
949	2553	134
950	2556	131
951	2559	129
952	2561	126
953	2564	123
954	2567	120
955	2570	118
956	2572	115
957	2575	112
958	2577	110
959	2580	107
960	2583	104
961	2585	102
962	2588	99
963	2590	96
964	2593	94
965	2596	91
966	2598	88
967	2601	85
968	2604	83
969	2606	80
970	2609	77
971	2612	75
972	2614	72
973	2618	69
974	2622	67
975	2625	64
976	2628	61
977	2631	59
978	2634	56
979	2637	53
980	2640	51
981	2642	48
982	2646	45
983	2649	43
984	2652	40
985	2655	37
986	2657	35
987	2660	32
988	2662	29
989	2665	26
990	2669	24
991	2671	21
992	2674	18
993	2677	16
994	2679	13
995	2682	10
996	2685	8
997	2687	5
998	2689	2
999	2691	0
