iter	RMSE
493	34.07836954
494	34.05775085
495	34.02374194
496	34.00621136
497	33.98338701
498	33.96761847
499	33.95276164
500	33.93870559
501	33.92428552
502	33.91427001
503	33.90903143
504	33.89467049
505	33.88050563
506	33.85912519
507	33.84472159
508	33.83834584
509	33.81328833
510	33.79929193
511	33.77709726
512	33.7695335
513	33.74924726
514	33.74130186
515	33.73376847
516	33.71328257
517	33.68972752
518	33.67534176
519	33.66079348
520	33.65254925
521	33.64132067
522	33.63143206
523	33.61191729
524	33.59830917
525	33.58532728
526	33.56398095
527	33.54730848
528	33.53796993
529	33.52018894
530	33.50832405
531	33.49717804
532	33.49205294
533	33.48055967
534	33.46067968
535	33.44738736
536	33.43119997
537	33.40753048
538	33.38772378
539	33.37042082
540	33.36162801
541	33.35107437
542	33.337153
543	33.32519364
544	33.31988987
545	33.30531542
546	33.29819626
547	33.29030833
548	33.28030522
549	33.26313474
550	33.24711817
551	33.22736078
552	33.21024325
553	33.19794022
554	33.17686691
555	33.17103095
556	33.15257778
557	33.14556609
558	33.13142341
559	33.12138409
560	33.111484
561	33.10265664
562	33.08774495
563	33.07660909
564	33.0512745
565	33.04006343
566	33.02415021
567	33.01140896
568	32.99802367
569	32.99086919
570	32.97877607
571	32.96935162
572	32.95912883
573	32.92581506
574	32.91028763
575	32.89817868
576	32.87614191
577	32.86196812
578	32.84228734
579	32.82643803
580	32.81202482
581	32.80269779
582	32.78961036
583	32.77020615
584	32.75881887
585	32.74947785
586	32.73805664
587	32.72453651
588	32.7087573
589	32.69818251
590	32.6853452
591	32.65710312
592	32.64835251
593	32.63550773
594	32.6172284
595	32.60701243
596	32.588087
597	32.57814702
598	32.56934828
599	32.56126114
600	32.54848576
601	32.53742258
602	32.52497778
603	32.51325383
604	32.50915571
605	32.48668981
606	32.47413177
607	32.45741672
608	32.4440326
609	32.43088834
610	32.41986097
611	32.40565106
612	32.38437153
613	32.37272064
614	32.36304013
615	32.35062157
616	32.34166009
617	32.33252058
618	32.31648485
619	32.30440098
620	32.2826192
621	32.27571365
622	32.26453123
623	32.25045929
624	32.24168763
625	32.23688857
626	32.23425792
627	32.21789408
628	32.21534829
629	32.20026684
630	32.18573369
631	32.17882311
632	32.16390752
633	32.1526408
634	32.14435889
635	32.13105272
636	32.11426634
637	32.10329977
638	32.09844323
639	32.08153807
640	32.06095759
641	32.05229368
642	32.03823868
643	32.03578298
644	32.01598842
645	32.00114344
646	31.99552213
647	31.98589309
648	31.97676848
649	31.96948774
650	31.96315351
651	31.94537487
652	31.92365449
653	31.91315495
654	31.90539411
655	31.88979028
656	31.8770347
657	31.8660264
658	31.85932546
659	31.844864
660	31.83343622
661	31.82445065
662	31.81178151
663	31.80213078
664	31.79018009
665	31.7798116
666	31.76880113
667	31.76110053
668	31.75167281
669	31.74538328
670	31.71710591
671	31.71266301
672	31.69948633
673	31.69060591
674	31.66731583
675	31.65594964
676	31.6439032
677	31.63681845
678	31.62309016
679	31.61351268
680	31.60333644
681	31.58599114
682	31.57342719
683	31.55979478
684	31.55349997
685	31.53973124
686	31.52526503
687	31.51534274
688	31.50751459
689	31.48571075
690	31.47962447
691	31.47208027
692	31.46000206
693	31.45590974
694	31.44547712
695	31.43508459
696	31.42808883
697	31.41398346
698	31.40430875
699	31.39588687
700	31.3857465
701	31.37332194
702	31.35895565
703	31.34561277
704	31.33152903
705	31.31809275
706	31.31089396
707	31.30396226
708	31.29349576
709	31.28664244
710	31.27736721
711	31.27296763
712	31.26649453
713	31.240002
714	31.23074551
715	31.22287475
716	31.21062531
717	31.20278137
718	31.18944815
719	31.17569885
720	31.16491735
721	31.15447718
722	31.14141635
723	31.12778246
724	31.11371661
725	31.11017815
726	31.10680859
727	31.10140619
728	31.09094587
729	31.08431226
730	31.07683339
731	31.0694509
732	31.05941585
733	31.04754403
734	31.03647024
735	31.02559384
736	31.01264393
737	31.00235628
738	30.99552548
739	30.98410354
740	30.97734372
741	30.97152283
742	30.95562075
743	30.94353718
744	30.93661947
745	30.9291403
746	30.92087114
747	30.89885918
748	30.88567958
749	30.87327689
750	30.86223377
751	30.85027027
752	30.84472279
753	30.83817693
754	30.82720772
755	30.82294851
756	30.81413061
757	30.79235095
758	30.77661209
759	30.77035162
760	30.76321522
761	30.76148241
762	30.75299697
763	30.74735809
764	30.74054097
765	30.73534434
766	30.73006058
767	30.71652629
768	30.71028126
769	30.7014284
770	30.6915938
771	30.68195795
772	30.67172024
773	30.65554801
774	30.64712143
775	30.63649185
776	30.61818918
777	30.611476
778	30.59349507
779	30.58426001
780	30.57701035
781	30.56582172
782	30.55376619
783	30.54276122
784	30.5311101
785	30.52498952
786	30.51272234
787	30.4974204
788	30.48155564
789	30.46860822
790	30.46134567
791	30.45343201
792	30.44368386
793	30.43700539
794	30.42974126
795	30.42398137
796	30.4008249
797	30.39308708
798	30.38552994
799	30.36870887
800	30.35789416
801	30.34424946
802	30.33925478
803	30.32272903
804	30.30425018
805	30.30091618
806	30.28497218
807	30.2752392
808	30.26963048
809	30.26222029
810	30.25275261
811	30.24421842
812	30.23414194
813	30.22497329
814	30.2197097
815	30.21498073
816	30.20674832
817	30.20199069
818	30.19603943
819	30.18325065
820	30.17757096
821	30.16422929
822	30.15501402
823	30.14589484
824	30.13909307
825	30.1305082
826	30.12021313
827	30.11347437
828	30.10313992
829	30.10034837
830	30.08247214
831	30.07371326
832	30.06531116
833	30.05484616
834	30.04069026
835	30.0295933
836	30.02311131
837	30.01360892
838	30.0078537
839	29.99914695
840	29.99019804
841	29.980732
842	29.96822503
843	29.95940182
844	29.94699414
845	29.93244693
846	29.92516468
847	29.91275274
848	29.90692864
849	29.89738409
850	29.88086738
851	29.87566373
852	29.86334993
853	29.86012943
854	29.84931339
855	29.84107811
856	29.82840546
857	29.82194118
858	29.81563945
859	29.80295959
860	29.79620136
861	29.78806974
862	29.78150566
863	29.76592019
864	29.75593333
865	29.74223575
866	29.73426033
867	29.71926516
868	29.70921292
869	29.70120401
870	29.69563417
871	29.6871101
872	29.6778333
873	29.66763189
874	29.65344571
875	29.64140674
876	29.63566663
877	29.62820278
878	29.61777107
879	29.60571656
880	29.59451269
881	29.58799422
882	29.57711079
883	29.56898032
884	29.55526626
885	29.54954933
886	29.54044636
887	29.53643096
888	29.53162476
889	29.51823684
890	29.51216304
891	29.5065387
892	29.49289425
893	29.48102236
894	29.46853376
895	29.46139096
896	29.45305729
897	29.44967816
898	29.44328361
899	29.42895132
900	29.42699607
901	29.42180299
902	29.41268067
903	29.3981974
904	29.39255403
905	29.38499374
906	29.37834405
907	29.36720649
908	29.35665065
909	29.34715943
910	29.33812233
911	29.33677551
912	29.32623047
913	29.31151001
914	29.30053998
915	29.29088817
916	29.28222331
917	29.26224704
918	29.25485564
919	29.247989
920	29.23409602
921	29.22633144
922	29.21970168
923	29.20881771
924	29.2040554
925	29.19801952
926	29.19474127
927	29.1885731
928	29.18070822
929	29.17050144
930	29.16513032
931	29.15917056
932	29.1494262
933	29.14122612
934	29.12806246
935	29.12125154
936	29.11444939
937	29.1051394
938	29.09540538
939	29.08977148
940	29.08690127
941	29.07494436
942	29.07160327
943	29.05781144
944	29.04428779
945	29.0397286
946	29.02916352
947	29.02381876
948	29.02028877
949	29.01699562
950	29.01197345
951	28.99628322
952	28.99022935
953	28.98493658
954	28.97577037
955	28.96333664
956	28.95634208
957	28.95021316
958	28.94405037
959	28.93130158
960	28.9227342
961	28.92213883
962	28.91606495
963	28.91549545
964	28.9111424
965	28.90444185
966	28.89651895
967	28.89422645
968	28.88524954
969	28.87616891
970	28.86903835
971	28.86662443
972	28.86221639
973	28.8529415
974	28.84025636
975	28.83344785
976	28.82480526
977	28.82189212
978	28.81524739
979	28.80775474
980	28.80179365
981	28.79608104
982	28.7904514
983	28.78409947
984	28.77675199
985	28.76863594
986	28.76209277
987	28.75569119
988	28.74520313
989	28.74102856
990	28.72651956
991	28.72081072
992	28.71244619
993	28.69653335
994	28.68905215
995	28.67979627
996	28.67128254
997	28.6609417
998	28.6548609
999	28.64043274
