iter	Logloss
0	0.6439433658
1	0.5990561908
2	0.5576846122
3	0.5264119536
4	0.5005714434
5	0.4687331693
6	0.4459730485
7	0.422117791
8	0.4033202495
9	0.3857805702
10	0.3690223079
11	0.3580022429
12	0.3449329551
13	0.3340007593
14	0.3223749165
15	0.3131055324
16	0.3036638088
17	0.2968480885
18	0.2909623967
19	0.2854337532
20	0.2807458393
21	0.2757425019
22	0.2713984065
23	0.2683187426
24	0.2646347194
25	0.2613687961
26	0.2583029065
27	0.2559005731
28	0.2529390608
29	0.2508296885
30	0.2482890198
31	0.2461842839
32	0.2443493484
33	0.2421554096
34	0.2404715503
35	0.2393919187
36	0.2384163095
37	0.2372848484
38	0.2351553607
39	0.2340036796
40	0.2326310028
41	0.2318009706
42	0.2306528486
43	0.2297111886
44	0.2284515729
45	0.2277732393
46	0.2273312955
47	0.2266584298
48	0.2254754962
49	0.225003622
50	0.2244861141
51	0.2234055309
52	0.2229018528
53	0.2219806257
54	0.2209668383
55	0.220570727
56	0.2199483502
57	0.2194084452
58	0.2190113402
59	0.2186966694
60	0.2181824431
61	0.2179358949
62	0.2175403427
63	0.2169805303
64	0.2163660289
65	0.2159989455
66	0.21556819
67	0.2152299423
68	0.2146182612
69	0.2141382521
70	0.2135134349
71	0.2130988201
72	0.2125184002
73	0.2121196326
74	0.2115046337
75	0.2111742075
76	0.210877355
77	0.2105616456
78	0.2101629846
79	0.2097476538
80	0.2093490038
81	0.2091362587
82	0.2089176035
83	0.2084307598
84	0.2081388757
85	0.2077774283
86	0.2074866838
87	0.2070768392
88	0.2066610155
89	0.2063110894
90	0.2059988294
91	0.2057619954
92	0.2054269337
93	0.2050781019
94	0.2049295491
95	0.2045934575
96	0.2042503745
97	0.2040940444
98	0.2037829214
99	0.2034957958
100	0.2032067517
101	0.2029887041
102	0.2026238606
103	0.2023577562
104	0.202026616
105	0.2016935739
106	0.201517208
107	0.2013648328
108	0.2008579116
109	0.2005965264
110	0.2002027368
111	0.2000343715
112	0.1997302474
113	0.1995821691
114	0.1994528256
115	0.1992348936
116	0.1991165222
117	0.1989447346
118	0.1987787934
119	0.1986242499
120	0.1984414387
121	0.1981686241
122	0.1979714346
123	0.197833381
124	0.1976561842
125	0.1972723245
126	0.1971231904
127	0.1968686369
128	0.1967127483
129	0.1964529019
130	0.1962839105
131	0.1961633977
132	0.1958628351
133	0.1957174686
134	0.1955554142
135	0.1953049318
136	0.1950674922
137	0.1948022437
138	0.1946276134
139	0.1944322458
140	0.1942360068
141	0.1940723766
142	0.1938954253
143	0.1937825582
144	0.1936933854
145	0.1935729532
146	0.1934213101
147	0.1932809209
148	0.1930575346
149	0.1928828565
150	0.1926107478
151	0.1924379079
152	0.1922932664
153	0.1920839711
154	0.1919521842
155	0.191761386
156	0.1916234332
157	0.191465859
158	0.1913666522
159	0.1912472581
160	0.1911119421
161	0.1909615861
162	0.190865649
163	0.1907707206
164	0.1905455994
165	0.1904347412
166	0.1902216524
167	0.1901058647
168	0.1899879164
169	0.1898642053
170	0.1897834248
171	0.189677376
172	0.1895174318
173	0.1892822152
174	0.1891545384
175	0.1888460551
176	0.1887308796
177	0.1885378999
178	0.1884550426
179	0.188182783
180	0.188069675
181	0.18798238
182	0.187800829
183	0.1876883533
184	0.1875014848
185	0.1874128802
186	0.1872223781
187	0.1870517074
188	0.1869617144
189	0.1868495819
190	0.1867028098
191	0.1865211509
192	0.186406075
193	0.1862128731
194	0.1861080399
195	0.1860534087
196	0.1859465835
197	0.1858454007
198	0.18574149
199	0.1856379963
200	0.1855375772
201	0.1854646199
202	0.1853334358
203	0.1852437489
204	0.1851396618
205	0.1850638673
206	0.1849658017
207	0.1848770511
208	0.1847375051
209	0.1845845704
210	0.1844978899
211	0.1843274971
212	0.1842249669
213	0.1841551797
214	0.1840074752
215	0.1838996075
216	0.183789581
217	0.1836593246
218	0.1835327754
219	0.1834113155
220	0.183289303
221	0.1832144529
222	0.183116823
223	0.1830071055
224	0.1828778532
225	0.182747006
226	0.182676018
227	0.1825545304
228	0.1824282668
229	0.182260527
230	0.1821615635
231	0.1820515244
232	0.181940514
233	0.1818880509
234	0.1816857024
235	0.1816156888
236	0.1814915389
237	0.1814285627
238	0.1812937819
239	0.1811374789
240	0.1809461459
241	0.1808501981
242	0.1807430914
243	0.1806204817
244	0.1805397928
245	0.1804267675
246	0.1803042788
247	0.1802401205
248	0.1801337043
249	0.1800713668
250	0.1799669305
251	0.1798477585
252	0.1797474714
253	0.1795758912
254	0.1795008161
255	0.1793814274
256	0.1792749692
257	0.1791589592
258	0.1790302227
259	0.1789529756
260	0.178876854
261	0.1787430757
262	0.1786362967
263	0.1785762993
264	0.1784975338
265	0.1783843629
266	0.1782507212
267	0.1782083384
268	0.1781868062
269	0.1781174287
270	0.1780392613
271	0.1779725978
272	0.1779074185
273	0.1778139378
274	0.1777061899
275	0.1775755595
276	0.177423576
277	0.1773474363
278	0.1772473707
279	0.1772185949
280	0.1771877708
281	0.1771714236
282	0.1770824349
283	0.1769720571
284	0.1768813071
285	0.1767619777
286	0.176710301
287	0.1766278171
288	0.1765022709
289	0.1764113619
290	0.1763126255
291	0.1762147611
292	0.1761309196
293	0.1760163277
294	0.1758800493
295	0.1757969882
296	0.1757788255
297	0.1757001941
298	0.1755862628
299	0.1754633593
300	0.1753462226
301	0.1753262028
302	0.1752501128
303	0.175177055
304	0.1750609484
305	0.1749627999
306	0.1748278785
307	0.1747040014
308	0.1746033005
309	0.1745024987
310	0.1744210243
311	0.1743008897
312	0.1741892559
313	0.1741158452
314	0.1739840235
315	0.1739025194
316	0.1737955744
317	0.1736796251
318	0.1736022367
319	0.173571474
320	0.1734434638
321	0.1733608113
322	0.1733425218
323	0.1732555501
324	0.1731839679
325	0.1730786805
326	0.172974388
327	0.1728843943
328	0.1727848454
329	0.1726819108
330	0.1726087015
