"Provinsi","Kabupaten","Kecamatan ","Kelurahan"
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","ALUE BAGOK "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","ALUE BATEE "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","ALUE SUNDAK "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","ARONGAN "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","COT BULOH "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","COT JURUMUDI "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","COT KUMBANG "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","DRIEN RAMPAK "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","GUNONG PULO "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","KARANG HAMPA "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","KEUB "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","KUBU "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","PANTE MEUTIA "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","PANTON BAHAGIA "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","PANTON MAKMUR "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","PEULANTEU LB "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","PEURIBU "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","RIMBA LANGGEH "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","SEUNEUBOK LUENG "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","SEUNEUBOK TEUNGOH "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","SIMPANG PEUT "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","SUAK BIDOK "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","SUAK IE BEUSOU "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","SUAK KEUMUDEE "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","TEUPIN PEURAHO "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","UJONG BEUSA "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","UJONG SIMPANG "
"ACEH","ACEH BARAT","BUBON","ALUE BAKONG "
"ACEH","ACEH BARAT","BUBON","ALUE LHOK "
"ACEH","ACEH BARAT","BUBON","BEURAWANG "
"ACEH","ACEH BARAT","BUBON","BLANG SIBEUTONG "
"ACEH","ACEH BARAT","BUBON","COT KEUMUNENG "
"ACEH","ACEH BARAT","BUBON","COT LADA "
"ACEH","ACEH BARAT","BUBON","GUNONG PANAH "
"ACEH","ACEH BARAT","BUBON","KUALA PLING "
"ACEH","ACEH BARAT","BUBON","KUTA PADANG "
"ACEH","ACEH BARAT","BUBON","LAYUNG "
"ACEH","ACEH BARAT","BUBON","LICEH "
"ACEH","ACEH BARAT","BUBON","PEULANTEU SP "
"ACEH","ACEH BARAT","BUBON","RAMBONG "
"ACEH","ACEH BARAT","BUBON","SEUMULENG "
"ACEH","ACEH BARAT","BUBON","SEUNEUBOK TRAP "
"ACEH","ACEH BARAT","BUBON","SUAK PANGKAT "
"ACEH","ACEH BARAT","BUBON","ULEE BLANG "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","BLANG BERANDANG "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","DRIEN RAMPAK "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","GAMPA "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","KAMPUNG BELAKANG "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","KAMPUNG DARAT "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","KAMPUNG PASIR "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","KUTA PADANG "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","LAPANG "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","LEUHAN "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","PADANG SEURAHET "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","PANGGONG "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","PASAR ACEH "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","RUNDENG "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","SEUNEUBOK "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","SUAK INDRAPURI "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","SUAK NIE "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","SUAK RAYA "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","SUAK RIBEE "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","SUAK SIGADENG "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","UJONG BAROH "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","UJUNG KALAK "
"ACEH","ACEH BARAT","KAWAI XVI","ALUE LHEE "
"ACEH","ACEH BARAT","KAWAI XVI","ALUE LHOK "
"ACEH","ACEH BARAT","KAWAI XVI","ALUE ON "
"ACEH","ACEH BARAT","KAWAI XVI","ALUE PEUDEUNG "
"ACEH","ACEH BARAT","KAWAI XVI","ALUE TAMPAK "
"ACEH","ACEH BARAT","KAWAI XVI","BABAH MEULABOH "
"ACEH","ACEH BARAT","KAWAI XVI","BEUREUGANG "
"ACEH","ACEH BARAT","KAWAI XVI","BLANG DALAM "
"ACEH","ACEH BARAT","KAWAI XVI","BLANG GEUNANG "
"ACEH","ACEH BARAT","KAWAI XVI","DRIEN CALEE "
"ACEH","ACEH BARAT","KAWAI XVI","KEUDE ARON "
"ACEH","ACEH BARAT","KAWAI XVI","KEUDE TANJONG "
"ACEH","ACEH BARAT","KAWAI XVI","KEURAMAT "
"ACEH","ACEH BARAT","KAWAI XVI","MAREK "
"ACEH","ACEH BARAT","KAWAI XVI","MENUANG TANJONG "
"ACEH","ACEH BARAT","KAWAI XVI","MESJID "
"ACEH","ACEH BARAT","KAWAI XVI","MEUNASAH ARA "
"ACEH","ACEH BARAT","KAWAI XVI","MEUNASAH BULOH "
"ACEH","ACEH BARAT","KAWAI XVI","MEUNASAH GANTUNG "
"ACEH","ACEH BARAT","KAWAI XVI","MEUNASAH RAMBOT "
"ACEH","ACEH BARAT","KAWAI XVI","MEUNASAH RAYEUK "
"ACEH","ACEH BARAT","KAWAI XVI","MUKO "
"ACEH","ACEH BARAT","KAWAI XVI","PADANG MANCANG "
"ACEH","ACEH BARAT","KAWAI XVI","PADANG SIKABU "
"ACEH","ACEH BARAT","KAWAI XVI","PALIMBUNGAN "
"ACEH","ACEH BARAT","KAWAI XVI","PASI ARA "
"ACEH","ACEH BARAT","KAWAI XVI","PASI JAMBU "
"ACEH","ACEH BARAT","KAWAI XVI","PASI JEUMPA "
"ACEH","ACEH BARAT","KAWAI XVI","PASI KUMBANG "
"ACEH","ACEH BARAT","KAWAI XVI","PASI MEUGAT "
"ACEH","ACEH BARAT","KAWAI XVI","PASI TEUNGOH "
"ACEH","ACEH BARAT","KAWAI XVI","PEUNIA "
"ACEH","ACEH BARAT","KAWAI XVI","PUCOK PUNGKIE "
"ACEH","ACEH BARAT","KAWAI XVI","PUNGKIE "
"ACEH","ACEH BARAT","KAWAI XVI","PUTIM "
"ACEH","ACEH BARAT","KAWAI XVI","PUUK "
"ACEH","ACEH BARAT","KAWAI XVI","SAWANG TEUBEE "
"ACEH","ACEH BARAT","KAWAI XVI","SIMPANG "
"ACEH","ACEH BARAT","KAWAI XVI","TANJONG BUNGA "
"ACEH","ACEH BARAT","KAWAI XVI","TANJONG MEULABOH "
"ACEH","ACEH BARAT","KAWAI XVI","TEULADAN "
"ACEH","ACEH BARAT","KAWAI XVI","TEUPIN PANAH "
"ACEH","ACEH BARAT","KAWAI XVI","TUMPOK LADANG "
"ACEH","ACEH BARAT","MEUREUBO","BALEE "
"ACEH","ACEH BARAT","MEUREUBO","BUKIT JAYA "
"ACEH","ACEH BARAT","MEUREUBO","BULOH "
"ACEH","ACEH BARAT","MEUREUBO","GUNONG KLENG "
"ACEH","ACEH BARAT","MEUREUBO","LANGUNG "
"ACEH","ACEH BARAT","MEUREUBO","MESJID TUHA "
"ACEH","ACEH BARAT","MEUREUBO","MEUREUBO "
"ACEH","ACEH BARAT","MEUREUBO","PASI ACEH BAROH "
"ACEH","ACEH BARAT","MEUREUBO","PASI ACEH TUNONG "
"ACEH","ACEH BARAT","MEUREUBO","PASI MESJID "
"ACEH","ACEH BARAT","MEUREUBO","PASI PINANG "
"ACEH","ACEH BARAT","MEUREUBO","PAYA BARO RP "
"ACEH","ACEH BARAT","MEUREUBO","PAYA PEUNAGA "
"ACEH","ACEH BARAT","MEUREUBO","PEUNAGA CUT UJONG "
"ACEH","ACEH BARAT","MEUREUBO","PEUNAGA PASI "
"ACEH","ACEH BARAT","MEUREUBO","PEUNAGA RAYEUK "
"ACEH","ACEH BARAT","MEUREUBO","PUCOK REUDEUP "
"ACEH","ACEH BARAT","MEUREUBO","PULO TEUNGOH "
"ACEH","ACEH BARAT","MEUREUBO","RANTO PANYANG BARAT "
"ACEH","ACEH BARAT","MEUREUBO","RANTO PANYANG TIMUR "
"ACEH","ACEH BARAT","MEUREUBO","RANUB DONG "
"ACEH","ACEH BARAT","MEUREUBO","REUDEUP "
"ACEH","ACEH BARAT","MEUREUBO","SUMBER BATU "
"ACEH","ACEH BARAT","MEUREUBO","UJONG DRIEN "
"ACEH","ACEH BARAT","MEUREUBO","UJONG TANJONG "
"ACEH","ACEH BARAT","MEUREUBO","UJONG TANOH DARAT "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","ALUE KEUMANG "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","BABAH ISEUNG "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","BABAH KRUENG TEP LEP "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","BABAH LUENG "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","BERDIKARI "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","CANGGAI "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","GUNONG TAROK "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","JAMBAK "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","KEUDE SUWAK AWE "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","KEUTAMBANG "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","KRUENG BEUKAH "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","LANGO "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","LAWET "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","LHOK GUCI "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","LHOK SARI "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","MANJENG "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","MENUANG KINCO "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","PANTE CEUREMEN "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","PULO TEUNGOH MANYENG "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","SAWANG RAMBOT "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","SEUMANTOK "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","SEUMARA "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","SIKUNDO "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","SUAK AWE "
"ACEH","ACEH BARAT","PANTE CEUREUMEN","TEGAL SARI "
"ACEH","ACEH BARAT","PANTON REU","ANTONG "
"ACEH","ACEH BARAT","PANTON REU","BABAH KRUENG MANGGIE "
"ACEH","ACEH BARAT","PANTON REU","BARO PAYA "
"ACEH","ACEH BARAT","PANTON REU","BLANG BALEE "
"ACEH","ACEH BARAT","PANTON REU","BLANG TEUNGOH "
"ACEH","ACEH BARAT","PANTON REU","COT MANGGIE "
"ACEH","ACEH BARAT","PANTON REU","GUNONG MATA IE "
"ACEH","ACEH BARAT","PANTON REU","KP BARO "
"ACEH","ACEH BARAT","PANTON REU","KUALA MANYEUE "
"ACEH","ACEH BARAT","PANTON REU","LEK-LEK "
"ACEH","ACEH BARAT","PANTON REU","MANGGIE "
"ACEH","ACEH BARAT","PANTON REU","MENTULANG "
"ACEH","ACEH BARAT","PANTON REU","MUGO CUT "
"ACEH","ACEH BARAT","PANTON REU","MUGO RAYEUK "
"ACEH","ACEH BARAT","PANTON REU","PAYA BARO MEUKO "
"ACEH","ACEH BARAT","PANTON REU","SIBINTANG "
"ACEH","ACEH BARAT","PANTON REU","TAMPING "
"ACEH","ACEH BARAT","PANTON REU","TUWI BUYA "
"ACEH","ACEH BARAT","PANTON REU","UJONG RAJA "
"ACEH","ACEH BARAT","SAMATIGA","ALUE RAYA "
"ACEH","ACEH BARAT","SAMATIGA","COT AMUN "
"ACEH","ACEH BARAT","SAMATIGA","COT DARAT "
"ACEH","ACEH BARAT","SAMATIGA","COT LAMPISE "
"ACEH","ACEH BARAT","SAMATIGA","COT MESJID "
"ACEH","ACEH BARAT","SAMATIGA","COT PLUH "
"ACEH","ACEH BARAT","SAMATIGA","COT SEULAMAT "
"ACEH","ACEH BARAT","SAMATIGA","COT SEUMEURENG "
"ACEH","ACEH BARAT","SAMATIGA","DEUAH "
"ACEH","ACEH BARAT","SAMATIGA","GAMPONG COT "
"ACEH","ACEH BARAT","SAMATIGA","GAMPONG LADANG "
"ACEH","ACEH BARAT","SAMATIGA","GAMPONG TEUNGOH "
"ACEH","ACEH BARAT","SAMATIGA","KEUREUSENG "
"ACEH","ACEH BARAT","SAMATIGA","KRUENG TINGGAI "
"ACEH","ACEH BARAT","SAMATIGA","KUALA BUBON "
"ACEH","ACEH BARAT","SAMATIGA","LEUBOK "
"ACEH","ACEH BARAT","SAMATIGA","LEUKEUN "
"ACEH","ACEH BARAT","SAMATIGA","LHOK BUBON "
"ACEH","ACEH BARAT","SAMATIGA","MESJID BARO "
"ACEH","ACEH BARAT","SAMATIGA","PANGE "
"ACEH","ACEH BARAT","SAMATIGA","PAYA LUMPAT "
"ACEH","ACEH BARAT","SAMATIGA","PINEM "
"ACEH","ACEH BARAT","SAMATIGA","PUCOK LUENG "
"ACEH","ACEH BARAT","SAMATIGA","RANGKILEH "
"ACEH","ACEH BARAT","SAMATIGA","REUSAK "
"ACEH","ACEH BARAT","SAMATIGA","SUAK GEUDEUBANG "
"ACEH","ACEH BARAT","SAMATIGA","SUAK PANDAN "
"ACEH","ACEH BARAT","SAMATIGA","SUAK PANTE BREUH "
"ACEH","ACEH BARAT","SAMATIGA","SUAK SEUKEE "
"ACEH","ACEH BARAT","SAMATIGA","SUAK SEUMASEH "
"ACEH","ACEH BARAT","SAMATIGA","SUAK TIMAH "
"ACEH","ACEH BARAT","SAMATIGA","UJONG NGA "
"ACEH","ACEH BARAT","SUNGAI MAS","DRIEN SIBAK "
"ACEH","ACEH BARAT","SUNGAI MAS","GASEU "
"ACEH","ACEH BARAT","SUNGAI MAS","GEUDONG "
"ACEH","ACEH BARAT","SUNGAI MAS","GLEUNG "
"ACEH","ACEH BARAT","SUNGAI MAS","GUNONG BULOH "
"ACEH","ACEH BARAT","SUNGAI MAS","KAJEUNG "
"ACEH","ACEH BARAT","SUNGAI MAS","LANCONG "
"ACEH","ACEH BARAT","SUNGAI MAS","LEUBOK BEUTONG "
"ACEH","ACEH BARAT","SUNGAI MAS","LUENG BARO "
"ACEH","ACEH BARAT","SUNGAI MAS","PUNGKIE "
"ACEH","ACEH BARAT","SUNGAI MAS","RAMITIE "
"ACEH","ACEH BARAT","SUNGAI MAS","SAKUY "
"ACEH","ACEH BARAT","SUNGAI MAS","SARAH PERLAK "
"ACEH","ACEH BARAT","SUNGAI MAS","SIPOT "
"ACEH","ACEH BARAT","SUNGAI MAS","TANOH MIRAH "
"ACEH","ACEH BARAT","SUNGAI MAS","TUNGKOP "
"ACEH","ACEH BARAT","SUNGAI MAS","TUTUT "
"ACEH","ACEH BARAT","SUNGAI MAS","TUWI SAYA "
"ACEH","ACEH BARAT","WOYLA","DRIEN SIBAK "
"ACEH","ACEH BARAT","WOYLA","GASEU "
"ACEH","ACEH BARAT","WOYLA","GEUDONG "
"ACEH","ACEH BARAT","WOYLA","GLEUNG "
"ACEH","ACEH BARAT","WOYLA","GUNONG BULOH "
"ACEH","ACEH BARAT","WOYLA","KAJEUNG "
"ACEH","ACEH BARAT","WOYLA","LANCONG "
"ACEH","ACEH BARAT","WOYLA","LEUBOK BEUTONG "
"ACEH","ACEH BARAT","WOYLA","LUENG BARO "
"ACEH","ACEH BARAT","WOYLA","PUNGKIE "
"ACEH","ACEH BARAT","WOYLA","RAMITIE "
"ACEH","ACEH BARAT","WOYLA","SAKUY "
"ACEH","ACEH BARAT","WOYLA","SARAH PERLAK "
"ACEH","ACEH BARAT","WOYLA","SIPOT "
"ACEH","ACEH BARAT","WOYLA","TANOH MIRAH "
"ACEH","ACEH BARAT","WOYLA","TUNGKOP "
"ACEH","ACEH BARAT","WOYLA","TUTUT "
"ACEH","ACEH BARAT","WOYLA","TUWI SAYA "
"ACEH","ACEH BARAT","WOYLA BARAT","ALUE KEUMUNING "
"ACEH","ACEH BARAT","WOYLA BARAT","ALUE LEUHOB "
"ACEH","ACEH BARAT","WOYLA BARAT","ALUE PERMEN "
"ACEH","ACEH BARAT","WOYLA BARAT","BLANG COT MAMEH "
"ACEH","ACEH BARAT","WOYLA BARAT","BLANG COT RUBEK "
"ACEH","ACEH BARAT","WOYLA BARAT","BLANG LUAH "
"ACEH","ACEH BARAT","WOYLA BARAT","COT LAGAN LM "
"ACEH","ACEH BARAT","WOYLA BARAT","COT RAMBONG "
"ACEH","ACEH BARAT","WOYLA BARAT","IE SAYANG "
"ACEH","ACEH BARAT","WOYLA BARAT","KARAK "
"ACEH","ACEH BARAT","WOYLA BARAT","KULAM KAJU "
"ACEH","ACEH BARAT","WOYLA BARAT","LEUBOK PASI ARA "
"ACEH","ACEH BARAT","WOYLA BARAT","LHOK MALEE "
"ACEH","ACEH BARAT","WOYLA BARAT","LUENG BARO "
"ACEH","ACEH BARAT","WOYLA BARAT","MON PASONG "
"ACEH","ACEH BARAT","WOYLA BARAT","NAPAI "
"ACEH","ACEH BARAT","WOYLA BARAT","PASI JEUT "
"ACEH","ACEH BARAT","WOYLA BARAT","PASI MALEE "
"ACEH","ACEH BARAT","WOYLA BARAT","PASI MALI "
"ACEH","ACEH BARAT","WOYLA BARAT","PASI PANYANG "
"ACEH","ACEH BARAT","WOYLA BARAT","PEULEUKUNG "
"ACEH","ACEH BARAT","WOYLA BARAT","SIMPANG TEUMARON "
"ACEH","ACEH BARAT","WOYLA BARAT","ULEE PASI ARA "
"ACEH","ACEH BARAT","WOYLA BARAT","ULEE PULO "
"ACEH","ACEH BARAT","WOYLA TIMUR","ALUE BILIE "
"ACEH","ACEH BARAT","WOYLA TIMUR","ALUE EUMPEUK "
"ACEH","ACEH BARAT","WOYLA TIMUR","ALUE KUYUN "
"ACEH","ACEH BARAT","WOYLA TIMUR","ALUE MEUGANDA "
"ACEH","ACEH BARAT","WOYLA TIMUR","ALUE SEURALEN "
"ACEH","ACEH BARAT","WOYLA TIMUR","BLANG DALAM "
"ACEH","ACEH BARAT","WOYLA TIMUR","BLANG LUAH KB "
"ACEH","ACEH BARAT","WOYLA TIMUR","BLANG MAKMU "
"ACEH","ACEH BARAT","WOYLA TIMUR","BUKET MEUGAJAH "
"ACEH","ACEH BARAT","WOYLA TIMUR","COT PUNTI "
"ACEH","ACEH BARAT","WOYLA TIMUR","GAMPONG BARO KB "
"ACEH","ACEH BARAT","WOYLA TIMUR","GAMPONG BARO WT "
"ACEH","ACEH BARAT","WOYLA TIMUR","GUNONG PANYANG "
"ACEH","ACEH BARAT","WOYLA TIMUR","KUBU CAPANG "
"ACEH","ACEH BARAT","WOYLA TIMUR","LEUBOK PANYANG "
"ACEH","ACEH BARAT","WOYLA TIMUR","PASI ARA WT "
"ACEH","ACEH BARAT","WOYLA TIMUR","PASI JANENG "
"ACEH","ACEH BARAT","WOYLA TIMUR","PAYA BARO "
"ACEH","ACEH BARAT","WOYLA TIMUR","PAYA MEUGEUNDRANG "
"ACEH","ACEH BARAT","WOYLA TIMUR","RAMBONG "
"ACEH","ACEH BARAT","WOYLA TIMUR","RAMBONG PINTO "
"ACEH","ACEH BARAT","WOYLA TIMUR","SEUNEUBOK DALAM "
"ACEH","ACEH BARAT","WOYLA TIMUR","SEURADEUK "
"ACEH","ACEH BARAT","WOYLA TIMUR","TANGKEH "
"ACEH","ACEH BARAT","WOYLA TIMUR","TEUMIKET RANOM "
"ACEH","ACEH BARAT","WOYLA TIMUR","TUWI EUMPEUK "
"ACEH","ACH BARAT DAYA","BABAH ROT","ALUE DAWAH "
"ACEH","ACH BARAT DAYA","BABAH ROT","ALUE JEUREUJAK "
"ACEH","ACH BARAT DAYA","BABAH ROT","ALUE PEUNAWA "
"ACEH","ACH BARAT DAYA","BABAH ROT","BLANG DALAM "
"ACEH","ACH BARAT DAYA","BABAH ROT","BLANG RAJA "
"ACEH","ACH BARAT DAYA","BABAH ROT","COT SEUMANTOK "
"ACEH","ACH BARAT DAYA","BABAH ROT","GUNUNG SAMARINDA "
"ACEH","ACH BARAT DAYA","BABAH ROT","IE MIRAH "
"ACEH","ACH BARAT DAYA","BABAH ROT","LHOK GAYO "
"ACEH","ACH BARAT DAYA","BABAH ROT","PANTE CERMIN "
"ACEH","ACH BARAT DAYA","BABAH ROT","PANTEE RAKYAT "
"ACEH","ACH BARAT DAYA","BABAH ROT","RUKOEN DAMEE "
"ACEH","ACH BARAT DAYA","BABAH ROT","SIMPANG GADENG "
"ACEH","ACH BARAT DAYA","BABAH ROT","TELADAN JAYA "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","ALUE MANGGOTA "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","BABAH LHUNG "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","BAHARU "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","COT JEURAT "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","GEULUMPANG PAYONG "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","GUDANG "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","GUHANG "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","KEDAI SIBLAH "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","KEUDE PAYA "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","KUTA BAHAGIA "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","KUTA TINGGI "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","KUTA TUHA "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","LAMKUTA "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","LHEUNG ASAN "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","LHUNG TAROK "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","MATA IE "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","MEUDANG ARA "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","PANTON RAYA "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","PASAR BLANGPIDIE "
"ACEH","ACH BARAT DAYA","BLANGPIDIE","SEUNALOH "
"ACEH","ACH BARAT DAYA","JEUMPA","ALUE RAMBOT "
"ACEH","ACH BARAT DAYA","JEUMPA","ALUE SEULASEH "
"ACEH","ACH BARAT DAYA","JEUMPA","ALUE SUNGAI PINANG "
"ACEH","ACH BARAT DAYA","JEUMPA","ASOE NANGGROE "
"ACEH","ACH BARAT DAYA","JEUMPA","BARU "
"ACEH","ACH BARAT DAYA","JEUMPA","COT MANE "
"ACEH","ACH BARAT DAYA","JEUMPA","IKU LHUENG "
"ACEH","ACH BARAT DAYA","JEUMPA","JEUMPA BARAT "
"ACEH","ACH BARAT DAYA","JEUMPA","KUTA JEUMPA "
"ACEH","ACH BARAT DAYA","JEUMPA","KUTA MAKMUR "
"ACEH","ACH BARAT DAYA","JEUMPA","LADANG NEUBOK "
"ACEH","ACH BARAT DAYA","JEUMPA","PADANG GEULUMPANG "
"ACEH","ACH BARAT DAYA","KUALA BATEE","ALUE PADEE "
"ACEH","ACH BARAT DAYA","KUALA BATEE","ALUE PISANG "
"ACEH","ACH BARAT DAYA","KUALA BATEE","BLANG MAKMUR "
"ACEH","ACH BARAT DAYA","KUALA BATEE","BLANG PANYANG "
"ACEH","ACH BARAT DAYA","KUALA BATEE","DRIEN BEURUMBANG "
"ACEH","ACH BARAT DAYA","KUALA BATEE","GELANGGANG GAJAH "
"ACEH","ACH BARAT DAYA","KUALA BATEE","IE MAMEH "
"ACEH","ACH BARAT DAYA","KUALA BATEE","KAMPUNG TENGAH "
"ACEH","ACH BARAT DAYA","KUALA BATEE","KEUDE BARO "
"ACEH","ACH BARAT DAYA","KUALA BATEE","KOTA BAHAGIA "
"ACEH","ACH BARAT DAYA","KUALA BATEE","KRUENG BATEE "
"ACEH","ACH BARAT DAYA","KUALA BATEE","KRUENG PANTO "
"ACEH","ACH BARAT DAYA","KUALA BATEE","KUALA TEREUBU "
"ACEH","ACH BARAT DAYA","KUALA BATEE","LAMA TUHA "
"ACEH","ACH BARAT DAYA","KUALA BATEE","LHOK GAJAH "
"ACEH","ACH BARAT DAYA","KUALA BATEE","LHUNG GEULUMPANG "
"ACEH","ACH BARAT DAYA","KUALA BATEE","MUKA BLANG "
"ACEH","ACH BARAT DAYA","KUALA BATEE","PADANG SIKABU "
"ACEH","ACH BARAT DAYA","KUALA BATEE","PANTO CUT "
"ACEH","ACH BARAT DAYA","KUALA BATEE","PASAR KOTA BAHAGIA "
"ACEH","ACH BARAT DAYA","KUALA BATEE","RUMOH PANYANG "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","ALUE RAMBOT "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","COT BAK U "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","GEULANGGANG BATEE "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","KAYE ACEH "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","KUTA PAYA "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","LADANG TUHA I "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","LADANG TUHA II "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","MEUNASAH SUKON "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","MEUNASAH TENGAH "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","MEURANDEH "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","PADANG KEULELE "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","SUKA DAMAI "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","TOKOH II "
"ACEH","ACH BARAT DAYA","LEMBAH SABIL","UJUNG TANAH "
"ACEH","ACH BARAT DAYA","MANGGENG","BLANG MANGGENG "
"ACEH","ACH BARAT DAYA","MANGGENG","KEDAI "
"ACEH","ACH BARAT DAYA","MANGGENG","LADANG PANAH "
"ACEH","ACH BARAT DAYA","MANGGENG","LHOK PAWOH "
"ACEH","ACH BARAT DAYA","MANGGENG","LHOK PUNTOY "
"ACEH","ACH BARAT DAYA","MANGGENG","LHUNG BARO "
"ACEH","ACH BARAT DAYA","MANGGENG","PADANG "
"ACEH","ACH BARAT DAYA","MANGGENG","PANTE CERMIN "
"ACEH","ACH BARAT DAYA","MANGGENG","PANTE PIRAK "
"ACEH","ACH BARAT DAYA","MANGGENG","PANTE RAJA "
"ACEH","ACH BARAT DAYA","MANGGENG","PANTON MAKMUR "
"ACEH","ACH BARAT DAYA","MANGGENG","PAYA "
